NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;DESC. TIPO SIST.;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;
;;COLEGIO JOAN VENY I CLAR;2;CAMPANA BROILER               ;13-JUN-06; 7-JUN-17;ANSUL          ;R-102;  5;  1;  4;LT-120              ;         ;                    ;
;0023150;B.K.7103 - CALA MILLOR;2;CAMPANA BROILER               ;26-FEB-06; 2-AGO-18;ANSUL          ;R-102;  5;  1;  4;                    ;         ;                    ;
;4069001;BK 15689 CAN PICAFORT;2;CAMPANA BROILER               ;14-SEP-98; 1-JUN-13;SF/P 260       ;;  4;  1;  4;                    ;         ;                    ;
;4069;BK 8570 - GAVIOTAS;2;CAMPANA BROILER               ;19-JUN-06;13-JUN-13;SF/P 260       ;;  4;  1;  4;                    ;         ;                    ;
;0218;B.K.7098 - MAGIC  * PUERTO DE ALCUDIA ;2;CAMPANA BROILER               ; 1-NOV-04;20-MAR-18;ANSUL          ;R-102;  5;  1;  4;LT-30;         ;                    ;
;0023140;B.K.12485 - ACAPULCO;2;CAMPANA BROILER               ; 1-JUN-00;20-JUL-15;ANSUL          ;R-102;  5;  1;  4;                    ;         ;                    ;
;1641;REST. MUSSOL II - DIAGONAL ;3;CAMPANA PARRILLA PEQUE•A      ; 4-OCT-02;28-DIC-16;SF/A 300       ;;  7;  1;  6;                    ;         ;                    ;
;1029;B.K. 10756 - ARENAL PALMA DE MALLORCA;2;CAMPANA BROILER               ; 1-JUN-00;11-MAY-17;ANSUL          ;R-102;  5;  1;  4;                    ;         ;31299               ;
;0023143;B.K.14993 - PORTO CRISTO;2;CAMPANA BROILER               ; 3-MAY-04;21-MAR-19;ANSUL          ;R-102;  5;  1;  4;LOTE 2003           ;         ;062039              ;
;0023141;B.K.21077 - CARREFOUR PALMA;2;CAMPANA BROILER               ;30-MAY-06;19-JUL-16;ANSUL          ;R-102;  5;  1;  4;502709              ;         ;                    ;
;4631;B.K. 13676 - EL PAS DE LA CASA ANDORRA;3;CAMPANA FREIDORA 3            ;27-OCT-04;10-OCT-17;ANSUL          ;R-102;  7;  0;  4;                    ;         ;                    ;
;1177;B.K. 11701 - LINARES JAEN;2;CAMPANA BROILER               ;19-MAR-99; 5-FEB-16;SF/P 260       ;;  5;  1;  5;                    ;         ;11096-17            ;
;3863003;B.K. LA MOLINA ;1;CAMPANA FREIDORAS (4)         ;15-DIC-04; 1-NOV-12;ANSUL          ;R-102; 11;  4;  6;ANSUL 05/04         ;         ;001425              ;
;3863003;B.K. LA MOLINA ;2;CAMPANA BROILER               ;15-DIC-04; 1-NOV-12;ANSUL          ;R-102;  5;  1;  4;ansul may-04        ;         ;001424              ;
;3863;B.K. 12299 TERRASSA - C.C. PARC VALLES;2;CAMPANA BROILER               ; 2-MAR-99;28-SEP-13;ANSUL          ;R-102;  5;  1;  4;01/08/98;         ;                    ;
;0023192;B.K.13964 - CAN PASTILLA;2;CAMPANA BROILER               ;10-AGO-01; 4-NOV-18;ANSUL          ;R-102;  7;  1;  4;LT-30; 1-MAR-01;S-52329;
;0023002;B.K.3709 - VALENCIA II * Pza. Ayto;2;CAMPANA BROILER               ; 4-MAR-02;22-ENE-14;ANSUL          ;R-102;  5;  1;  4;E17 M1              ;         ;                    ;
;0023007;B.K.3743 - MURCIA I * Pza. Sto. Domingo;2;CAMPANA BROILER               ;18-ABR-02;29-JUL-16;ANSUL          ;R-102;  5;  1;  4;81020 04/03         ;         ;                    ;
