NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;
;;COLEGIO JOAN VENY I CLAR;2;CAMPANA BROILER               ;13-JUN-06; 7-JUN-17;ANSUL          ;  5;  1;  4;2013; 1-ABR-13;L-2044; 1-MAY-12;;         ;;         ;;         ;;         ;LT-120              ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023150;B.K.7103 - CALA MILLOR;2;CAMPANA BROILER               ;26-FEB-06; 2-AGO-18;ANSUL          ;  5;  1;  4;2006; 1-ABR-26;liquido azul he; 1-ABR-16;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4069001;BK 15689 CAN PICAFORT;2;CAMPANA BROILER               ;14-SEP-98; 1-JUN-13;SF/P 260       ;  4;  1;  4;0062-2005           ; 1-JUN-16;L-02-06        ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;ADP  ;  1;  1;  1;PARED  ;COLECTOR FILTROS PARED        ;ADP  ;  1;  1;  1;PARED  ;BROILER                       ;ADP  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4069;BK 8570 - GAVIOTAS;2;CAMPANA BROILER               ;19-JUN-06;13-JUN-13;SF/P 260       ;  4;  1;  4;0062-2005           ; 1-JUN-16;L-6023 03-06   ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;ADP  ;  1;  1;  1;PARED  ;COLECTOR FILTROS PARED        ;ADP  ;  1;  1;  1;PARED  ;BROILER                       ;ADP  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0218;B.K.7098 - MAGIC  * PUERTO DE ALCUDIA ;2;CAMPANA BROILER               ; 1-NOV-04;20-MAR-18;ANSUL          ;  5;  1;  4;2014;         ;L-4071; 1-OCT-14;;         ;;         ;;         ;;         ;LT-30;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023140;B.K.12485 - ACAPULCO;2;CAMPANA BROILER               ; 1-JUN-00;20-JUL-15;ANSUL          ;  5;  1;  4;                    ; 1-MAY-17;                    ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1641;REST. MUSSOL II - DIAGONAL ;3;CAMPANA PARRILLA PEQUE•A      ; 4-OCT-02;28-DIC-16;SF/A 300       ;  7;  1;  6;2008; 1-MAR-19;L8087; 1-AGO-08;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;PARRILLA CARBON VEGETAL       ;L1N  ;  4;  1;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1029;B.K. 10756 - ARENAL PALMA DE MALLORCA;2;CAMPANA BROILER               ; 1-JUN-00;11-MAY-17;ANSUL          ;  5;  1;  4;2006                ; 1-ENE-17;L-6089 10-06   ;         ;;         ;;         ;;         ;;         ;                    ;;31299               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023143;B.K.14993 - PORTO CRISTO;2;CAMPANA BROILER               ; 3-MAY-04;21-MAR-19;ANSUL          ;  5;  1;  4;2004;         ;l-3118; 1-DIC-13;;         ;;         ;;         ;;         ;LOTE 2003           ;;062039              ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023141;B.K.21077 - CARREFOUR PALMA;2;CAMPANA BROILER               ;30-MAY-06;19-JUL-16;ANSUL          ;  5;  1;  4;2005 LT-30          ; 1-JUN-16;L-5100 Oct-05  ;         ;;         ;;         ;;         ;;         ;502709              ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
