NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;
;;COLEGIO JOAN VENY I CLAR;2;CAMPANA BROILER               ;2013; 1-ABR-13;L-2044; 1-MAY-12;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023150;B.K.7103 - CALA MILLOR;2;CAMPANA BROILER               ;2006; 1-ABR-26;liquido azul he; 1-ABR-16;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;4069001;BK 15689 CAN PICAFORT;2;CAMPANA BROILER               ;0062-2005           ; 1-JUN-16;L-02-06        ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;4069;BK 8570 - GAVIOTAS;2;CAMPANA BROILER               ;0062-2005           ; 1-JUN-16;L-6023 03-06   ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0218;B.K.7098 - MAGIC  * PUERTO DE ALCUDIA ;2;CAMPANA BROILER               ;2014;         ;L-4071; 1-OCT-14;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023140;B.K.12485 - ACAPULCO;2;CAMPANA BROILER               ;                    ; 1-MAY-17;                    ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;1641;REST. MUSSOL II - DIAGONAL ;3;CAMPANA PARRILLA PEQUE•A      ;2008; 1-MAR-19;L8087; 1-AGO-08;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;1029;B.K. 10756 - ARENAL PALMA DE MALLORCA;2;CAMPANA BROILER               ;2006                ; 1-ENE-17;L-6089 10-06   ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023143;B.K.14993 - PORTO CRISTO;2;CAMPANA BROILER               ;2004;         ;l-3118; 1-DIC-13;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023141;B.K.21077 - CARREFOUR PALMA;2;CAMPANA BROILER               ;2005 LT-30          ; 1-JUN-16;L-5100 Oct-05  ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;4631;B.K. 13676 - EL PAS DE LA CASA ANDORRA;3;CAMPANA FREIDORA 3            ;2014; 1-OCT-24;                    ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;1177;B.K. 11701 - LINARES JAEN;2;CAMPANA BROILER               ;Feb 05              ; 1-FEB-16;0;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3863003;B.K. LA MOLINA ;1;CAMPANA FREIDORAS (4)         ;2004                ;         ;L-4031 Abr.04  ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3863003;B.K. LA MOLINA ;2;CAMPANA BROILER               ;2004                ;         ;L-4031 de abr.0;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3863;B.K. 12299 TERRASSA - C.C. PARC VALLES;2;CAMPANA BROILER               ;2008; 1-ENE-20;L-9010; 1-ENE-09;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023192;B.K.13964 - CAN PASTILLA;2;CAMPANA BROILER               ;2011; 1-NOV-21;                    ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023002;B.K.3709 - VALENCIA II * Pza. Ayto;2;CAMPANA BROILER               ;10114-31 12/01      ; 1-ABR-13;L-5008 ene-05  ;         ;
;;;;;;         ;;         ;
